logFC	AveExpr	t	P.Value	adj.P.Val	B
SPINK1	1.91601588640483	6.28292939424903	4.9918161813823	9.23992255088724e-07	2.11424323557329e-05	5.29371274226432
SLC22A1	-1.5165860288995	5.59761407125103	-4.97725842031954	9.91508965375374e-07	2.22554159361078e-05	5.22702864451141
G6PC	-1.08116999133904	7.57124897982127	-4.9387253937946	1.19403887396138e-06	2.58253550739648e-05	5.05134191164232
ADH4	-1.58294490363382	7.32989828664213	-4.88568793697078	1.53920335217872e-06	3.13852373764119e-05	4.81147580516785
SPP2	-1.29886219343594	5.86975086989775	-4.79697051870677	2.34209620295252e-06	4.37769586576558e-05	4.41532289376287
AGR2	1.0885597031538	1.29990802206744	4.69108668595269	3.83387327152161e-06	6.4998117067937e-05	3.95089174202948
LYZ	1.19810440872106	7.05567161580356	4.68794723000598	3.88977594420406e-06	6.5434675328055e-05	3.93726120124029
CYP2A7	-1.36422667982931	2.85368850381146	-4.67551745739753	4.11890626376148e-06	6.85905490375972e-05	3.88337431193795
LECT2	-1.16942286003326	5.18022501255816	-4.58042160407074	6.35591450125166e-06	9.74466284040001e-05	3.47530719237087
SLC10A1	-1.31164484819486	5.73694528310711	-4.55221549333824	7.21856839604254e-06	0.000107497500507624	3.35570591090401
GLYAT	-1.18713816715261	4.34572613008617	-4.5495262594692	7.30644975036241e-06	0.00010862813344074	3.34433723075322
CPS1	-1.32283840156807	6.97754272355407	-4.51445583892789	8.55085376520292e-06	0.000121940275672062	3.19662653282852
TAT	-1.36673769744188	6.74498847325297	-4.47658645913635	1.01223055755597e-05	0.00013801085375776	3.03827389576408
SLC22A7	-1.11662587207658	6.39365696768325	-4.2731896477407	2.45562709788079e-05	0.000278843006021765	2.20827206514954
HAO2	-1.14270321820187	4.21270603147594	-4.26094105277966	2.58745211174175e-05	0.000290716326321114	2.1593999705369
AKR1D1	-1.01359807008824	4.29854253314021	-4.23594378530439	2.87775419103246e-05	0.000313259665324612	2.06005422442595
CYP2A6	-1.56345374813805	6.60554847151948	-4.0694225104512	5.76768599731772e-05	0.000544067077877821	1.41180604097593
CD24	1.09791579476261	5.41286178175984	4.06754956950708	5.81220966032675e-05	0.000547414334415845	1.40464950338511
MUC13	1.22380549445289	4.03571202275857	3.9577523485914	9.07645627069551e-05	0.00077710206185672	0.990378081028212
HSD17B13	-1.25960708013692	4.38594289250659	-3.75212479856548	0.000203572214099474	0.00145095331958179	0.242580029688766
CYP7A1	-1.03374483799528	4.39459888727425	-3.68201212468456	0.000265960692228359	0.00178631196170234	-0.00396763539901546
ALDH3A1	1.14761905101541	2.93408460942747	3.63648073227465	0.000315683143096728	0.00204833262277906	-0.161765689687122
GPC3	1.12093629855955	7.55707604750152	3.51483991122789	0.000494749343963356	0.00290987571418785	-0.57436940631599
CYP3A4	-1.3278521494644	5.88807315622077	-3.26133718891846	0.00121215916806342	0.00585704993760004	-1.39196980245341
CRP	1.10197040218268	8.33909909002013	2.74803785864377	0.00628975468823165	0.021605646280165	-2.86965867346843
